id	stateid	county	state	rate
17001	17	Adams	Illinois	0.079
17003	17	Alexander	Illinois	0.112
17005	17	Bond	Illinois	0.093
17007	17	Boone	Illinois	0.138
17009	17	Brown	Illinois	0.045
17011	17	Bureau	Illinois	0.109
17013	17	Calhoun	Illinois	0.095
17015	17	Carroll	Illinois	0.105
17017	17	Cass	Illinois	0.073
17019	17	Champaign	Illinois	0.082
17021	17	Christian	Illinois	0.099
17023	17	Clark	Illinois	0.131
17025	17	Clay	Illinois	0.114
17027	17	Clinton	Illinois	0.079
17029	17	Coles	Illinois	0.091
17031	17	Cook	Illinois	0.106
17033	17	Crawford	Illinois	0.105
17035	17	Cumberland	Illinois	0.097
17037	17	DeKalb	Illinois	0.092
17039	17	De Witt	Illinois	0.092
17041	17	Douglas	Illinois	0.091
17043	17	DuPage	Illinois	0.086
17045	17	Edgar	Illinois	0.107
17047	17	Edwards	Illinois	0.091
17049	17	Effingham	Illinois	0.079
17051	17	Fayette	Illinois	0.116
17053	17	Ford	Illinois	0.104
17055	17	Franklin	Illinois	0.146
17057	17	Fulton	Illinois	0.125
17059	17	Gallatin	Illinois	0.11
17061	17	Greene	Illinois	0.092
17063	17	Grundy	Illinois	0.114
17065	17	Hamilton	Illinois	0.093
17067	17	Hancock	Illinois	0.113
17069	17	Hardin	Illinois	0.128
17071	17	Henderson	Illinois	0.094
17073	17	Henry	Illinois	0.086
17075	17	Iroquois	Illinois	0.1
17077	17	Jackson	Illinois	0.073
17079	17	Jasper	Illinois	0.095
17081	17	Jefferson	Illinois	0.1
17083	17	Jersey	Illinois	0.088
17085	17	Jo Daviess	Illinois	0.081
17087	17	Johnson	Illinois	0.104
17089	17	Kane	Illinois	0.099
17091	17	Kankakee	Illinois	0.128
17093	17	Kendall	Illinois	0.104
17095	17	Knox	Illinois	0.103
17097	17	Lake	Illinois	0.1
17099	17	La Salle	Illinois	0.124
17101	17	Lawrence	Illinois	0.103
17103	17	Lee	Illinois	0.109
17105	17	Livingston	Illinois	0.107
17107	17	Logan	Illinois	0.095
17109	17	McDonough	Illinois	0.077
17111	17	McHenry	Illinois	0.093
17113	17	McLean	Illinois	0.074
17115	17	Macon	Illinois	0.124
17117	17	Macoupin	Illinois	0.105
17119	17	Madison	Illinois	0.097
17121	17	Marion	Illinois	0.119
17123	17	Marshall	Illinois	0.106
17125	17	Mason	Illinois	0.143
17127	17	Massac	Illinois	0.08
17129	17	Menard	Illinois	0.078
17131	17	Mercer	Illinois	0.089
17133	17	Monroe	Illinois	0.078
17135	17	Montgomery	Illinois	0.122
17137	17	Morgan	Illinois	0.084
17139	17	Moultrie	Illinois	0.09
17141	17	Ogle	Illinois	0.119
17143	17	Peoria	Illinois	0.116
17145	17	Perry	Illinois	0.119
17147	17	Piatt	Illinois	0.082
17149	17	Pike	Illinois	0.081
17151	17	Pope	Illinois	0.106
17153	17	Pulaski	Illinois	0.119
17155	17	Putnam	Illinois	0.15
17157	17	Randolph	Illinois	0.094
17159	17	Richland	Illinois	0.105
17161	17	Rock Island	Illinois	0.095
17163	17	St. Clair	Illinois	0.108
17165	17	Saline	Illinois	0.112
17167	17	Sangamon	Illinois	0.079
17169	17	Schuyler	Illinois	0.066
17171	17	Scott	Illinois	0.075
17173	17	Shelby	Illinois	0.1
17175	17	Stark	Illinois	0.098
17177	17	Stephenson	Illinois	0.116
17179	17	Tazewell	Illinois	0.113
17181	17	Union	Illinois	0.108
17183	17	Vermilion	Illinois	0.12
17185	17	Wabash	Illinois	0.103
17187	17	Warren	Illinois	0.08
17189	17	Washington	Illinois	0.08
17191	17	Wayne	Illinois	0.097
17193	17	White	Illinois	0.086
17195	17	Whiteside	Illinois	0.106
17197	17	Will	Illinois	0.099
17199	17	Williamson	Illinois	0.096
17201	17	Winnebago	Illinois	0.155
17203	17	Woodford	Illinois	0.086
